Scientific name,check 
Acanthurus achilles,Acanthuridae
Acanthurus albipectoralis,Acanthuridae
Acanthurus auranticavus,Acanthuridae
Acanthurus blochii,Acanthuridae
Acanthurus dussumieri,Acanthuridae
Acanthurus fowleri,Acanthuridae
Acanthurus grammoptilus,Acanthuridae
Acanthurus guttatus,Acanthuridae
Acanthurus leucocheilus,Acanthuridae
Acanthurus lineatus,Acanthuridae
Acanthurus mata,Acanthuridae
Acanthurus nigricans,Acanthuridae
Acanthurus nigricauda,Acanthuridae
Acanthurus nigrofuscus,Acanthuridae
Acanthurus nubilus,Acanthuridae
Acanthurus olivaceus,Acanthuridae
Acanthurus pyroferus,Acanthuridae
Acanthurus sp,Acanthuridae
Acanthurus thompsoni,Acanthuridae
Acanthurus triostegus,Acanthuridae
Acanthurus xanthopterus,Acanthuridae
Ctenochaetus binotatus,Acanthuridae
Ctenochaetus cyanocheilus,Acanthuridae
Ctenochaetus striatus,Acanthuridae
Ctenochaetus tominiensis,Acanthuridae
Naso annulatus,Acanthuridae
Naso brachycentron,Acanthuridae
Naso brevirostris,Acanthuridae
Naso caesius,Acanthuridae
Naso hexacanthus,Acanthuridae
Naso lopezi,Acanthuridae
Naso minor,Acanthuridae
Naso thynnoides,Acanthuridae
Naso tonganus,Acanthuridae
Naso tuberosus,Acanthuridae
Naso unicornis,Acanthuridae
Naso vlamingii,Acanthuridae
Balistapus undulatus,Balistidae
Canthidermis maculatus,Balistidae
Pseudobalistes flavimarginatus,Balistidae
Pseudobalistes fuscus,Balistidae
Tylosurus crocodilus,Belonidae
Bothus mancus,Bothidae
Carangoides bajad,Carangidae
Carangoides ferdau,Carangidae
Carangoides fulvoguttatus,Carangidae
Carangoides oblongus,Carangidae
Carangoides orthogrammus,Carangidae
Carangoides plagiotaenia,Carangidae
Caranx ignobilis,Carangidae
Caranx melampygus,Carangidae
Caranx sexfasciatus,Carangidae
Decapterus macarellus,Carangidae
Elagatis bipinnulata,Carangidae
Gnathanodon speciosus,Carangidae
Scomberoides lysan,Carangidae
Seriola dumerili,Carangidae
Carcharhinus amblyrhynchos,Carcharhinidae
Carcharhinus melanopterus,Carcharhinidae
Negaprion acutidens,Carcharhinidae
Triaenodon obesus,Carcharhinidae
Chanos chanos,Chanidae
Gorgasia maculata,Congridae
Heteroconger hassi,Congridae
Heteroconger sp,Congridae
Dasyatis kuhlii,Dasyatidae
Taeniura lymma,Dasyatidae
Diodon hystrix,Diodontidae
Echeneis naucrates,Echeneidae
Fistularia commersonii,Fistulariidae
Diagramma pictum,Haemulidae
Plectorhinchus albovittatus,Haemulidae
Plectorhinchus chaetodonoides,Haemulidae
Plectorhinchus gibbosus,Haemulidae
Plectorhinchus lessonii,Haemulidae
Plectorhinchus lineatus,Haemulidae
Plectorhinchus picus,Haemulidae
Plectorhinchus vittatus,Haemulidae
Neoniphon argenteus,Holocentridae
Neoniphon opercularis,Holocentridae
Neoniphon sammara,Holocentridae
Sargocentron caudimaculatum,Holocentridae
Sargocentron cornutum,Holocentridae
Sargocentron diadema,Holocentridae
Sargocentron ittodai,Holocentridae
Sargocentron rubrum,Holocentridae
Sargocentron spiniferum,Holocentridae
Sargocentron tiere,Holocentridae
Kyphosus bigibbus,Kyphosidae
Kyphosus cinerascens,Kyphosidae
Kyphosus vaigiensis,Kyphosidae
Bodianus loxozonus,Labridae
Cheilinus chlorourus,Labridae
Cheilinus fasciatus,Labridae
Cheilinus trilobatus,Labridae
Cheilinus undulatus,Labridae
Cheilio inermis,Labridae
Choerodon anchorago,Labridae
Choerodon fasciatus,Labridae
Choerodon jordani,Labridae
Epibulus brevis,Labridae
Epibulus insidiator,Labridae
Hemigymnus fasciatus,Labridae
Hemigymnus melapterus,Labridae
Iniistius pavo,Labridae
Oxycheilinus bimaculatus,Labridae
Oxycheilinus celebicus,Labridae
Oxycheilinus digramma,Labridae
Oxycheilinus orientalis,Labridae
Oxycheilinus rhodochrous,Labridae
Oxycheilinus unifasciatus,Labridae
Gnathodentex aureolineatus,Lethrinidae
Gymnocranius microdon,Lethrinidae
Lethrinus atkinsoni,Lethrinidae
Lethrinus erythracanthus,Lethrinidae
Lethrinus erythropterus,Lethrinidae
Lethrinus harak,Lethrinidae
Lethrinus laticaudis,Lethrinidae
Lethrinus obsoletus,Lethrinidae
Lethrinus olivaceus,Lethrinidae
Lethrinus ornatus,Lethrinidae
Lethrinus rubrioperculatus,Lethrinidae
Lethrinus sp,Lethrinidae
Lethrinus xanthochilus,Lethrinidae
Monotaxis grandoculis,Lethrinidae
Aphareus furca,Lutjanidae
Aprion virescens,Lutjanidae
Lutjanus biguttatus,Lutjanidae
Lutjanus bohar,Lutjanidae
Lutjanus boutton,Lutjanidae
Lutjanus carponotatus,Lutjanidae
Lutjanus fulviflamma,Lutjanidae
Lutjanus fulvus,Lutjanidae
Lutjanus gibbus,Lutjanidae
Lutjanus kasmira,Lutjanidae
Lutjanus mizenkoi,Lutjanidae
Lutjanus monostigma,Lutjanidae
Lutjanus quinquelineatus,Lutjanidae
Lutjanus rivulatus,Lutjanidae
Lutjanus semicinctus,Lutjanidae
Macolor macularis,Lutjanidae
Macolor niger,Lutjanidae
Mulloidichthys flavolineatus,Mullidae
Mulloidichthys vanicolensis,Mullidae
Parupeneus barberinoides,Mullidae
Parupeneus barberinus,Mullidae
Parupeneus trifasciatus,Mullidae
Parupeneus ciliatus,Mullidae
Parupeneus crassilabris,Mullidae
Parupeneus cyclostomus,Mullidae
Parupeneus indicus,Mullidae
Parupeneus insularis,Mullidae
Parupeneus multifasciatus,Mullidae
Parupeneus pleurostigma,Mullidae
Upeneus tragula,Mullidae
Gymnothorax flavimarginatus,Muraenidae
Gymnothorax javanicus,Muraenidae
Gymnothorax meleagris,Muraenidae
Aetobatus narinari,Myliobatidae
Manta birostris,Mobulidae
Pentapodus aureofasciatus,Nemipteridae
Pentapodus emeryii,Nemipteridae
Pentapodus trivittatus,Nemipteridae
Scolopsis bilineata,Nemipteridae
Scolopsis ciliata,Nemipteridae
Scolopsis lineata,Nemipteridae
Scolopsis margaritifera,Nemipteridae
Scolopsis monogramma,Nemipteridae
Scolopsis trilineata,Nemipteridae
Scolopsis xenochrous,Nemipteridae
Priacanthus hamrur,Priacanthidae
Bolbometopon muricatum,Scaridae
Calotomus carolinus,Scaridae
Cetoscarus ocellatus,Scaridae
Chlorurus bleekeri,Scaridae
Chlorurus frontalis,Scaridae
Chlorurus japanensis,Scaridae
Chlorurus microrhinos,Scaridae
Chlorurus sordidus,Scaridae
Hipposcarus longiceps,Scaridae
Scarus altipinnis,Scaridae
Scarus chameleon,Scaridae
Scarus dimidiatus,Scaridae
Scarus festivus,Scaridae
Scarus flavipectoralis,Scaridae
Scarus forsteni,Scaridae
Scarus frenatus,Scaridae
Scarus ghobban,Scaridae
Scarus globiceps,Scaridae
Scarus longipinnis,Scaridae
Scarus niger,Scaridae
Scarus oviceps,Scaridae
Scarus prasiognathos,Scaridae
Scarus psittacus,Scaridae
Scarus quoyi,Scaridae
Scarus rivulatus,Scaridae
Scarus rubroviolaceus,Scaridae
Scarus schlegeli,Scaridae
Scarus sp,Scaridae
Scarus spinus,Scaridae
Scarus tricolor,Scaridae
Gymnosarda unicolor,Scombridae
Rastrelliger kanagurta,Scombridae
Sarda orientalis,Scombridae
Scomberomorus commerson,Scombridae
Aethaloperca rogaa,Serranidae
Anyperodon leucogrammicus,Serranidae
Cephalopholis argus,Serranidae
Cephalopholis boenak,Serranidae
Cephalopholis cyanostigma,Serranidae
Cephalopholis leopardus,Serranidae
Cephalopholis microprion,Serranidae
Cephalopholis miniata,Serranidae
Cephalopholis sexmaculata,Serranidae
Cephalopholis spiloparaea,Serranidae
Cephalopholis urodeta,Serranidae
Cromileptes altivelis,Serranidae
Epinephelus areolatus,Serranidae
Epinephelus caeruleopunctatus,Serranidae
Epinephelus cyanopodus,Serranidae
Epinephelus cyanopodus,Serranidae
Epinephelus fasciatus,Serranidae
Epinephelus fuscoguttatus,Serranidae
Epinephelus hexagonatus,Serranidae
Epinephelus howlandi,Serranidae
Epinephelus macrospilos,Serranidae
Epinephelus maculatus,Serranidae
Epinephelus melanostigma,Serranidae
Epinephelus merra,Serranidae
Epinephelus ongus,Serranidae
Epinephelus polyphekadion,Serranidae
Epinephelus tauvina,Serranidae
Gracila albomarginata,Serranidae
Grammistes sexlineatus,Serranidae
Plectropomus areolatus,Serranidae
Plectropomus laevis,Serranidae
Plectropomus leopardus,Serranidae
Plectropomus maculatus,Serranidae
Plectropomus oligacanthus,Serranidae
Pogonoperca punctata,Serranidae
Variola albimarginata,Serranidae
Variola louti,Serranidae
Siganus argenteus,Siganidae
Siganus javus,Siganidae
Siganus corallinus,Siganidae
Siganus doliatus,Siganidae
Siganus javus,Siganidae
Siganus lineatus,Siganidae
Siganus puellus,Siganidae
Siganus punctatissimus,Siganidae
Siganus punctatus,Siganidae
Siganus spinus,Siganidae
Siganus stellatus,Siganidae
Siganus uspi,Siganidae
Siganus vermiculatus,Siganidae
Siganus vulpinus,Siganidae
Sphyraena barracuda,Sphyraenidae
Sphyraena flavicauda,Sphyraenidae
Sphyraena forsteri,Sphyraenidae
Sphyraena helleri,Sphyraenidae
Sphyraena jello,Sphyraenidae
Sphyraena qenie,Sphyraenidae
Stegostoma fasciatum,Stegostomadae
Saurida gracilis,Synodontidae
Saurida nebulosa,Synodontidae
Synodus binotatus,Synodontidae
Synodus dermatogenys,Synodontidae
Synodus jaculum,Synodontidae
Synodus variegatus,Synodontidae